Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Brandon Phillips,Reds,141,584,11,74,64,14,3.10%,11.60%,0.125,0.312,0.291,0.32,0.416,0.315,92,-3.4,-9.4,0.4,1,791
Matt Kemp,- - -,156,672,35,89,108,1,5.40%,23.20%,0.231,0.297,0.268,0.304,0.499,0.333,108,-0.7,6,-19,0.9,5631
Howie Kendrick,Dodgers,146,543,8,65,40,10,9.20%,17.70%,0.111,0.301,0.255,0.326,0.366,0.303,90,2.4,-4.3,-5.1,0.8,4229
Kendrys Morales,Royals,154,618,30,65,93,0,7.80%,19.40%,0.204,0.283,0.263,0.327,0.468,0.339,111,-4.4,3.7,-16.7,0.8,8610
Albert Pujols,Angels,152,650,31,71,119,4,7.50%,11.50%,0.189,0.26,0.268,0.323,0.457,0.331,110,-6.2,1.5,-16.2,0.7,1177
Mike Napoli,Indians,150,645,34,92,101,5,12.10%,30.10%,0.226,0.296,0.239,0.335,0.465,0.343,111,-5.4,3.1,-18,0.7,3057
Adonis Garcia,Braves,134,563,14,65,65,3,4.30%,16.50%,0.133,0.308,0.273,0.311,0.406,0.308,90,-1.5,-8.8,-2.9,0.6,13777
Nomar Mazara,Rangers,145,568,20,59,64,0,6.90%,19.70%,0.153,0.299,0.266,0.32,0.419,0.318,91,-3.4,-9.7,-4.1,0.6,14553
Yasmany Tomas,Diamondbacks,140,563,31,72,83,2,5.50%,24.20%,0.236,0.31,0.272,0.313,0.508,0.345,109,-5.6,0.3,-13.2,0.5,17171
Alex Gordon,Royals,128,506,17,62,40,8,10.30%,29.20%,0.16,0.288,0.22,0.312,0.38,0.303,86,0.6,-7.9,-4.2,0.5,5209
Cheslor Cuthbert,Royals,128,510,12,49,46,2,6.30%,18.80%,0.139,0.32,0.274,0.318,0.413,0.316,95,-4.2,-7.1,-5.2,0.5,10473
Adeiny Hechavarria,Marlins,155,547,3,52,38,1,6.00%,13.30%,0.075,0.269,0.236,0.283,0.311,0.256,59,1.8,-25.5,12.9,0.5,10459
Alcides Escobar,Royals,162,682,7,57,55,17,4.00%,14.10%,0.089,0.295,0.261,0.292,0.35,0.278,69,-1.1,-26.5,8.3,0.5,6310
Jay Bruce,- - -,147,589,33,74,99,4,7.50%,21.40%,0.256,0.266,0.25,0.309,0.506,0.34,111,-3.1,4.7,-20.1,0.3,9892
Marwin Gonzalez,Astros,141,518,13,55,51,12,4.20%,22.80%,0.147,0.311,0.254,0.293,0.401,0.298,89,-2.1,-9.2,-4.9,0.3,5497
Scooter Gennett,Brewers,136,542,14,58,56,8,7.00%,21.00%,0.149,0.315,0.263,0.317,0.412,0.315,92,-2.8,-8,-6.8,0.3,10339
Eric Hosmer,Royals,158,667,25,80,104,5,8.50%,19.80%,0.167,0.301,0.266,0.328,0.433,0.326,102,-5.5,-3.7,-16.9,0.2,3516
Mitch Moreland,Rangers,147,503,22,49,60,1,7.00%,23.50%,0.189,0.266,0.233,0.298,0.422,0.307,83,-2.1,-12.1,-5,0,3086
Yonder Alonso,Athletics,156,532,7,52,56,3,8.50%,13.90%,0.114,0.284,0.253,0.316,0.367,0.299,87,-2.8,-11,-9.2,-0.2,2530
Alexei Ramirez,- - -,145,506,6,38,48,8,4.20%,12.50%,0.092,0.265,0.241,0.277,0.333,0.264,63,-2.6,-25.9,-5.5,-1.6,5133
